system,split,overall_avg,overall_std,metric_avg,metric_std,common_avg,common_std,random_avg,random_std
gcc,0,2.0,1.5491933384829668,2.2777777777777777,1.3636264606493256,2.6666666666666665,1.3662601021279464,4.074074074074074,2.2050700742029385
gcc,1,1.8,0.44721359549995804,2.8666666666666667,2.1668498091095505,1.8,0.44721359549995804,4.4,2.2406267344797315
gcc,2,1.8,0.4472135954999579,3.0,2.0701966780270626,1.8,0.4472135954999579,4.088888888888889,2.0651020470297503
gcc,3,2.0,0.7071067811865476,3.0,1.0690449676496976,2.0,0.7071067811865476,4.475,2.4177495363483827
gcc,4,1.8,0.8366600265340756,3.2,2.5410908793553326,1.8,0.8366600265340756,3.32,2.0146402930061935
imagemagick,0,1.165,0.8068643942781023,1.64,1.6695413804553128,1.165,0.8068643942781023,14.5015,6.158811836029399
imagemagick,1,1.08,0.4411041422630353,1.84,1.8555342946970808,1.08,0.4411041422630353,12.3545,5.661877619578998
imagemagick,2,1.22,0.8919517304469095,1.92,1.990856291129479,1.22,0.8919517304469095,12.333,6.714585156725131
imagemagick,3,1.05,0.43409931012992453,1.72,1.8013083521287023,1.05,0.43409931012992453,7.863333333333333,5.326597446377302
imagemagick,4,1.13,0.6673279802060071,1.7825,1.8997938814460766,1.13,0.6673279802060071,13.2155,6.468305747227771
lingeling,0,25.382978723404257,17.803948257142736,25.43617021276596,18.073064679114253,25.48936170212766,18.530670628219173,29.91725768321513,17.813149731654757
lingeling,1,19.608695652173914,12.690290708288348,19.97826086956522,15.456410356807055,20.347826086956523,17.93843470354999,24.06086956521739,15.954476062589816
lingeling,2,23.26086956521739,15.079691689463527,23.32608695652174,16.378831618255578,27.5,20.08288381239662,27.51207729468599,16.44813107965101
lingeling,3,18.47826086956522,15.24429092470691,20.217391304347824,15.859150710293147,23.47826086956522,16.520343190455662,25.541304347826088,17.171835329346557
lingeling,4,20.608695652173914,14.120872275338558,21.641304347826086,15.558172667171405,27.17391304347826,21.99727695049355,27.421739130434784,15.887278766310656
nodejs,0,17.62532299741602,12.224017791648208,18.069767441860463,12.305598822528294,18.82170542635659,12.297552062150082,28.378409417169106,14.381597393622085
nodejs,1,17.440414507772022,12.331264197593606,17.440414507772022,12.331264197593606,17.740932642487046,12.490629554205274,21.73134715025907,13.776361401071043
nodejs,2,17.743523316062177,12.880228360511916,17.743523316062177,12.880228360511916,18.77979274611399,12.825733303095346,26.017357512953367,14.314407569652685
nodejs,3,17.808290155440414,12.70359530574768,17.808290155440414,12.70359530574768,20.05440414507772,12.665307714941813,25.275259067357513,14.243202389763278
nodejs,4,17.77720207253886,12.190782059252944,17.77720207253886,12.190782059252944,17.997409326424872,12.271283912264165,26.54519286125504,14.302351964999247
poppler,0,2.206730769230769,1.3763190018296896,2.6346153846153846,1.7120842919666333,2.206730769230769,1.3763190018296896,3.787087912087912,2.2074533620284615
poppler,1,2.269230769230769,1.2567173651463064,2.8052884615384617,1.9482635861009114,2.269230769230769,1.2567173651463064,3.1153846153846154,1.9415187636747926
poppler,2,2.1634615384615383,1.255792968283344,2.829326923076923,1.8594481702061607,2.0576923076923075,1.1149135975441558,3.6338141025641026,2.142039784539483
poppler,3,2.110576923076923,1.1804705742469614,2.612980769230769,1.7066065136405553,2.298076923076923,1.291965567602589,3.4653846153846155,1.9905343487141396
poppler,4,2.135265700483092,1.2737311607388937,2.606280193236715,1.6222004541835984,2.0483091787439616,1.3173909715439958,3.3146135265700485,2.027765926869622
sqlite,0,1.1379310344827587,0.35093120317179827,1.4367816091954022,0.9286195224668882,1.1379310344827587,0.35093120317179827,1.596551724137931,0.8994357164589363
sqlite,1,1.1379310344827587,0.35093120317179827,1.4137931034482758,0.853502744789662,1.1379310344827587,0.35093120317179827,1.5258620689655173,0.826626240771264
sqlite,2,1.1379310344827587,0.35093120317179827,1.8333333333333333,1.1592670512274035,1.1379310344827587,0.35093120317179827,1.8812260536398469,1.1047415424551978
sqlite,3,1.0689655172413792,0.25788071477756375,1.2758620689655173,0.7464494310789408,1.0689655172413792,0.25788071477756375,1.3620689655172413,0.7323063028397727
sqlite,4,1.0357142857142858,0.18898223650461365,1.7107142857142856,1.1415386980205013,1.0357142857142858,0.18898223650461365,1.8293650793650793,1.107134952226254
x264,0,1.065891472868217,0.2637638738950831,1.3689922480620156,0.6510477858728186,1.065891472868217,0.2637638738950831,3.4627906976744187,2.016356911521388
x264,1,1.0930232558139534,0.34033310450962023,1.458139534883721,0.718933534199891,1.0930232558139534,0.34033310450962023,2.814384151593454,1.538112616795678
x264,2,1.0778210116731517,0.32139575831525063,1.3649805447470817,0.6447874655957749,1.0778210116731517,0.32139575831525063,4.361867704280155,2.0987181239339563
x264,3,1.0894941634241244,0.32440832103209655,1.3735408560311284,0.6534756981749253,1.0894941634241244,0.32440832103209655,3.4116731517509726,2.3519162909353173
x264,4,1.0700389105058365,0.284627632363863,1.4186770428015565,0.670211613355518,1.0700389105058365,0.284627632363863,2.764591439688716,1.6575878375174868
xz,0,2.4,1.07496769977314,3.75,2.0994986870303363,2.4,1.07496769977314,5.177777777777778,3.1785014410467993
xz,1,2.5,1.90029237516523,3.9,2.8265657049165736,3.4,1.4298407059684812,5.75,3.075011577625627
xz,2,2.5,0.7071067811865476,4.45,2.564432839727663,2.5,0.7071067811865476,4.977777777777778,2.685699866010188
xz,3,2.7777777777777777,1.6414763002993509,3.8333333333333335,2.7278519883945744,3.4444444444444446,1.5898986690282426,4.698412698412699,3.160415043358667
xz,4,2.4444444444444446,1.2360330811826103,4.222222222222222,2.9014307942108095,2.4444444444444446,1.2360330811826103,4.285714285714286,2.99153952936617
