system,num_performances,performances,num_configs,selected_configs,input_cost,wcp_mean,wcp_max,optimization_target
imagemagick,1,['size'],1,[np.int64(96)],0.0011186,0.001118573351498125,0.11033446505979239,mean
imagemagick,1,['size'],2,"[np.int64(82), np.int64(96)]",0.00044560000000000004,0.00044556194417079263,0.07372023103093599,mean
imagemagick,1,['size'],3,"[np.int64(82), np.int64(93), np.int64(96)]",0.0,0.0,0.0,mean
imagemagick,2,"['size', 'time']",1,[np.int64(91)],0.024795599999999998,0.024795051998435826,0.35,mean
imagemagick,2,"['size', 'time']",2,"[np.int64(72), np.int64(91)]",0.0206287,0.02062881319742059,0.25225225225225223,mean
imagemagick,2,"['size', 'time']",3,"[np.int64(72), np.int64(75), np.int64(91)]",0.0193559,0.019355869192943517,0.25225225225225223,mean
imagemagick,2,"['size', 'time']",4,"[np.int64(52), np.int64(72), np.int64(75), np.int64(91)]",0.018455799999999998,0.018455819182669933,0.16455696202531642,mean
imagemagick,2,"['size', 'time']",5,"[np.int64(52), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",0.018051499999999998,0.018051408020616756,0.13924050632911386,mean
imagemagick,2,"['size', 'time']",6,"[np.int64(24), np.int64(52), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",0.0179237,0.0179235950355776,0.13924050632911386,mean
imagemagick,2,"['size', 'time']",7,"[np.int64(24), np.int64(30), np.int64(52), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",0.0178374,0.01783730019006256,0.13924050632911386,mean
imagemagick,2,"['size', 'time']",8,"[np.int64(24), np.int64(30), np.int64(52), np.int64(66), np.int64(72), np.int64(75), np.int64(91), np.int64(96)]",0.0177638,0.01776366612385909,0.13924050632911386,mean
imagemagick,2,"['size', 'time']",9,"[np.int64(24), np.int64(30), np.int64(52), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(96)]",0.0177148,0.017714630429084884,0.12857142857142856,mean
imagemagick,2,"['size', 'time']",10,"[np.int64(24), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(96)]",0.0176907,0.01769054319215894,0.12857142857142856,mean
imagemagick,2,"['size', 'time']",11,"[np.int64(23), np.int64(24), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(96)]",0.0176776,0.01767748490427591,0.12857142857142856,mean
imagemagick,2,"['size', 'time']",12,"[np.int64(23), np.int64(24), np.int64(30), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(93), np.int64(96)]",0.017667099999999998,0.0176669988856341,0.12857142857142856,mean
imagemagick,2,"['size', 'time']",13,"[np.int64(23), np.int64(24), np.int64(29), np.int64(30), np.int64(47), np.int64(52), np.int64(58), np.int64(66), np.int64(72), np.int64(75), np.int64(82), np.int64(91), np.int64(96)]",0.0176644,0.017664319873742906,0.12857142857142856,mean
